app_name,review_id,date,rating,review_text,thumbs_up,app_version,user_name,developer_reply,reply_date
Cash App,578043eb-bfff-42b2-b41a-ab146c05f1ed,2026-05-25 20:37:42,1,"keeps popping up as spam just horrible setup I have a samsung flip 5 the cashapp keep popping up anytime I open, use anything on my phone and a few times it just opens while im listening to music , talking on the phone the app interrupted twice while completing this summary.",0,5.52.0,Sacramento Man,"Hi there, we'd like to know more about what exactly you're referring to. Please feel free to reach out to us here: https://help.cash.app/3128. We’ll be glad to help.",2026-01-25 19:09:09
Cash App,b92ce661-515e-443f-8d96-e12884e7e48b,2026-05-25 20:32:52,1,horrible app. one day its totally working fine then they the next they deactivate you account and cant restart it but they cant tell you why? even the appeal it is worthless you get no where.,0,5.52.0,Allison Kaiser,,
Cash App,d7c1a0c2-2b48-4212-9353-9ec1a6c4aef4,2026-05-25 19:38:31,5,this AP has served me so well...,0,5.52.0,Nancy Porter,"This is so nice to hear, Nancy! Thank you for taking the time to leave this review. Feel free to reach out here: https://help.cash.app/4e3vqBN if needed.",2026-05-25 19:49:55
Cash App,81c1c81f-50fc-4289-90f4-57b57f1921db,2026-05-25 19:32:15,5,the future of money. good job babe. you are astounding,0,5.51.1,Chris Setree,"Hi there, Chris! Thanks for the kind review. If you have questions or need help, you can reach out through our contact options here: https://help.cash.app/49nw9eu.",2026-05-25 19:37:01
Cash App,58fc95e2-f127-4dda-b351-aeaff3605e72,2026-05-25 19:29:44,5,"my whole life depends on this app....does wire transfer means like when you receive large sums from companies kind of transactions?...cuz im getting a large wire transfer opportunity and no bank capable then I saw the new wire transfer option...can i receive 100,000.00 transfer on cash app?",0,5.52.0,Brett Bigelow,"We appreciate your review, Brett. We know how important it is for you to have clarity about wire transfer limits, and we'll be glad to help. Please reach out to us here: https://help.cash.app/4tUSkjy.",2026-05-25 19:41:01
Cash App,45f73541-781e-4066-83f6-76df0508c8a3,2026-05-25 19:14:53,4,a bank for those that can't bank,0,5.52.0,Dakota Hauge,"We appreciate you sharing this review, Dakota! If you ever need us, feel free to reach out to us here: https://help.cash.app/4fGjKGk. We’ll be glad to help.",2026-05-25 19:17:23
Cash App,6b56d2ff-29f0-4743-89f8-b54059542f80,2026-05-25 19:00:47,5,it's a great app to upload,0,5.52.0,Malik Walker,"We appreciate your review, Malik! Thanks for sharing this with us. If you ever need assistance, you can contact us directly with this link: https://help.cash.app/4wUbIA4.",2026-05-25 19:08:35
Cash App,7cdcd66f-cd1a-4570-9e9f-9f5e5315b9b2,2026-05-25 18:59:17,2,"best I can give: experience is optional (char. limit.) BF has been telling me how good the stock feature is! only to find out, since he has an IPhone and I have a Samsung, the experience is compleatly different! OR there is a major bug happening because the information field required to be filled out for personal address in order to activate the stock account, gave me a 40 character limit and the nextenter button greyed out every time I entered a [Space] into the address! extremly frustrating",0,5.52.0,Rye Sitter,"Thanks for your review, Rye. Due to regulations around stock investing we're unable to provide support here but feel free to reach out to us directly at help.cash.app/contact for further help. We’d be happy to assist you further.",2026-05-25 19:09:56
Cash App,cf51c9ef-a05a-4003-95a8-317d54f05cfe,2026-05-25 18:46:19,5,They are good when you need gas and food. Im so grateful for this.,0,5.52.0,Jackie Williams,"This is so nice to hear, Jackie! Thank you for taking the time to leave this review. Feel free to reach out here: https://help.cash.app/4dKWnsQ if needed.",2026-05-25 18:57:11
Cash App,960b78d0-9a3a-4218-8408-e355ea7b1b33,2026-05-25 18:03:10,4,good app,0,5.52.0,Jeremiah Payton,"We're glad you're having a good experience, Jeremiah! Whenever you need support, our team is here and ready to help. You can reach us here: https://help.cash.app/4dLLWVQ.",2026-05-25 18:16:58
Cash App,244f1a0b-08e5-409a-ac5d-f0c947a0c9de,2026-05-25 17:56:14,5,I use regularly and would recommend for others,0,5.52.0,J Mob,"Hi Jason, we love hearing this! Glad you took the time to post this review. In case you ever need us, we’ll be here to assist: https://help.cash.app/3128. Have a great day!
",2026-05-25 18:35:49
Cash App,29f6ea7f-2c94-4921-82ba-6b0bdd4f066d,2026-05-25 17:27:09,5,whole system is awesome 👌,0,5.49.0,Tese Clay,"Hi there, this is so nice to hear! Thank you for taking the time to leave this review. We hope you never need it, but always feel comfortable using this link to get in touch with us if you ever require assistance: https://help.cash.app/3128.
",2026-05-25 18:26:55
Cash App,22f3b613-9c96-4eff-b42a-428167349e34,2026-05-25 17:09:10,2,not very good can't get answers that I need to know,0,5.52.0,paul robinson,"Hi Paul, we'd like to know more about what exactly you're referring to. Mind sending our team a message, so we can make sure you are getting taken care of? https://help.cash.app/4f1MdpT.",2026-05-25 18:08:33
Cash App,42d213aa-808b-4032-9950-83b13f937c49,2026-05-25 16:54:38,5,send me money 💰,0,,Austin,,
Cash App,127484c7-1054-41be-94f8-7e1ef909e8d9,2026-05-25 16:48:18,1,I can't use it anywhere. card has not come.,0,5.52.0,Tara McKay,"Hi Tara, we'd like to know more about the issue you're experiencing with your Cash App, and we understand the importance of receiving your Cash App Card. Remember that Cash App Cards typically arrive within 14 days. If you need any assistance with this, please reach out through the available options here: https://help.cash.app/4dwAluZ.",2026-05-25 18:12:17
Cash App,4c58fed9-13ff-4134-a32a-37b16c59acd7,2026-05-25 16:42:34,5,it's a better Way to send money to people you know quickly,0,5.52.0,Maritza Torres,"We love hearing that you enjoy sending funds fast and easy to those you know using Cash App, Maritza. Thanks so much for the kind review. If you need us, feel free to reach out to us here: https://help.cash.app/3128. We’ll be glad to help.",2026-05-25 18:34:26
Cash App,de6eb943-94dd-4ac6-ba1d-8afc4a627fba,2026-05-25 16:35:31,4,transfer fees should be less,0,5.49.0,Danny Darell,"Hey Danny, we’re always looking to improve based on our customers’ feedback, and enjoy hearing from you about how we can make the app as useful as it can be. We’ll pass your request on to our team. Thanks for sharing your insight with us. Please reach out to our team here: https://help.cash.app/3128 if you ever need help.",2026-05-25 18:15:10
Cash App,7cb07785-1218-455b-b08e-dfc604ba56db,2026-05-25 16:33:49,2,I will give you 2 other stars when you fix the problem that stops me from ordering my first cash app card. I contacted you so many times but the problem is still not solved. That's horrible!!!,0,5.52.0,Humble Dreamer,"Hi Daniel, we understand how unideal it can be to have trouble ordering your Cash App Card. We'd like to take a closer look at what's going on with your account. You can send our team a message here: https://help.cash.app/4wO8b6f.",2026-05-25 18:07:46
